jogo_terminado,id_jogo,ano_copa,time,mandante,oponente,vitoria,empate,derrota,gols_marcados,gols_tomados,escanteios_afavor,gols_marcados_primeiro_tempo,gols_tomados_primeiro_tempo,abriu_placar,ambos_marcaram,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,posse_bola,chutes,chutes_gol,precisao_chute,ranking_fifa_time,ranking_fifa_oponente,diferenca_ranking,zebra
1,57,2010,Netherlands,1,Brazil,1,0,0,2,1,4,0,1,0,1,4,0,19,55,7,6,0.8571428571428571,1493.6363636363635,1540.4545454545455,-46.81818181818176,0
1,57,2010,Brazil,0,Netherlands,0,0,1,1,2,8,1,0,1,1,1,1,20,45,10,4,0.4,1540.4545454545455,1493.6363636363635,46.81818181818176,0
1,58,2010,Uruguay,1,Ghana,0,1,0,1,1,12,0,1,0,1,3,1,23,50,16,9,0.5625,1048.090909090909,853.0909090909091,194.9999999999999,1
1,58,2010,Ghana,0,Uruguay,0,1,0,1,1,8,1,0,1,1,3,0,23,50,19,8,0.42105263157894735,853.0909090909091,1048.090909090909,-194.9999999999999,1
1,59,2010,Argentina,1,Germany,0,0,1,0,4,5,0,1,0,0,2,0,20,59,20,8,0.4,1213,1327.2727272727273,-114.27272727272724,0
1,59,2010,Germany,0,Argentina,1,0,0,4,0,4,1,0,1,0,1,0,14,41,18,7,0.3888888888888889,1327.2727272727273,1213,114.27272727272724,0
1,60,2010,Paraguay,1,Spain,0,0,1,0,1,1,0,0,0,0,4,0,24,42,10,5,0.5,860.5454545454545,1752.6363636363635,-892.0909090909092,0
1,60,2010,Spain,0,Paraguay,1,0,0,1,0,7,0,0,1,0,2,0,11,58,14,6,0.42857142857142855,1752.6363636363635,860.5454545454545,892.0909090909092,0
1,61,2010,Uruguay,1,Netherlands,0,0,1,2,3,4,1,1,0,1,2,0,15,45,13,7,0.5384615384615384,1048.090909090909,1493.6363636363635,-445.54545454545473,0
1,61,2010,Netherlands,0,Uruguay,1,0,0,3,2,5,1,1,1,1,3,0,16,55,12,8,0.6666666666666666,1493.6363636363635,1048.090909090909,445.54545454545473,0
1,62,2010,Germany,1,Spain,0,0,1,0,1,6,0,0,0,0,0,0,9,49,4,3,0.75,1327.2727272727273,1752.6363636363635,-425.3636363636365,0
